ID,Name,Group,Classification,Alternative_Names,Note,Glottocode,Latitude,Longitude,Source
tae,Tae’,CMP,,,,taee1237,-2.58,120.14,
warembori,Warembori,CB,,,,ware1253,-1.66,137.57,Donohue1999
ambai,Ambai,CB,,,,amba1265,-1.88,136.53,Silzer1983
biak,Biak,CB,,,,biak1248,-0.95,135.88,
wooi,Wooi,CB,,,,woii1237,-1.63,135.48,
irarutu,Irarutu,CB,,,,irar1238,-2.94,133.59,
wandamen,Wandamen,CB,,,,wand1267,-2.26,134.00,Flaming1983
arguni,Arguni,Bom,,,,argu1237,-2.65,132.56,
buli,Buli,SH,,,,buli1255,1.00,128.44,Maan1951
taba,Taba,SH,,,ed: maybe Maba (Indonesia)?,,,,
sawai,Sawai,SH,,,,sawa1247,0.51,128.09,
gane,Gane,SH,,,,gane1237,-0.43,127.98,
ambel,Ambel,RA,,,,waig1244,-0.18,130.92,Arnold2018
misool,Misool,RA,,,,maya1282,-1.22,130.91,
kambera,Kambera,CMP,,,,kamb1299,-9.88,120.23,Klamer2010
lamaholot,Lamaholot,CMP,,,,lama1277,-8.36,122.80,NishiyamaandKelen2007
keo,Kéo,CMP,,,,keoo1238,-8.87,121.26,Baird2002
nauete,Nauete,CMP,,,,naue1237,-8.71,126.74,
rongga,Rongga,CMP,,,,rong1269,-8.85,120.70,Arka2008
kapampangan,Kapampangan,WMP,,,,pamp1243,14.96,120.50,
tondano,Tondano,WMP,,,,tond1251,1.28,124.96,
malay,Malay,WMP,,,,mala1479,1.85856,103.0,
cebuano,Cebuano,WMP,,,cebu1242,cebu1242,8.38799,124.367,
buru,Buru,CMP,,,,buru1303,-3.44,126.63,Grimes1991
tagalog,Tagalog,WMP,,,taga1270,taga1270,14.06,121.74700000000001,
maranao,Maranao,WMP,,,mara1404,mara1404,7.79414,124.17499999999998,
sangir,Sangir,WMP,,,sang1336,sang1336,3,125.5,
tausug,Tausug,WMP,,,taus1251,taus1251,5.12236,118.88,
javanese,Javanese,WMP,,,java1254,java1254,-7.001,109.287,Robson1992
numfor,Numfor,SHWNG,,,biak1248,biak1248,-0.9523,135.879,
seruilaut,Serui-Laut,CB,,,,seru1244,-1.88,136.25,
aklanon,Aklanon,WMP,,,akla1240,akla1240,11.55432,122.35413,
tobabatak,Toba Batak,WMP,,,bata1289,bata1289,2.35498,99.17609999999999,
wolio,Wolio,WMP,,,woli1241,woli1241,-5.33,122.66999999999999,
balangaw,Balangaw,WMP,,,bala1310,bala1310,17.0994,121.27199999999999,
larike,Larike,CMP,,,lari1256,lari1256,-3.77,127.96,
komodo,Komodo,CMP,,,komo1261,komo1261,-8.64518,119.477,
manggarai,Manggarai,CMP,,,mang1405,mang1405,-8.55748,120.329,
amber,Amber,SHWNG,,,,waig1244,-0.18,130.92,
mor,Mor,SHWNG,,,morb1239,morb1239,-2.85747,132.845,
dusner,Dusner,SHWNG,,,dusn1237,dusn1237,-2.73859,134.39100000000002,
waropen,Waropen,SHWNG,,,waro1242,waro1242,-2.31142,136.63299999999998,
kuvalan,Kuvalan,Fma,,,kava1241,kava1241,24.6947,121.645,
paiwan,Paiwan,Fma,,,,paiw1248,22.33,120.81,
bilaan,Bilaan,WMP,,,,blaa1241,6.1211,125.1805,
kagayanen,Kagayanen,WMP,,,,kaga1256,10.47,119.87,
cham,Cham,WMP,,,,cham1328,11.8812,106.258,
saban,Saban,WMP,,,,saba1265,3.59,115.66,
tolaki,Tolaki,WMP,,,tola1247,tola1247,-4.03577,121.88799999999999,
madurese,Madurese,WMP,,,nucl1460,nucl1460,-7,113,
sundanese,Sundanese,WMP,,,sund1252,sund1252,-6.89708,107.106,
tukangbesi,Tukang Besi,WMP,,,,tuka1247,-5.31,123.58,
ngajudayak,Ngaju Dayak,WMP,,,ngaj1237,ngaj1237,-1.58463,112.79400000000001,
ilokano,Ilokano,WMP,,,ilok1237,ilok1237,15.9361,120.99300000000001,
selaru,Selaru,CMP,,,sela1259,sela1259,-8.18376,130.961,
kisar,Kisar,CMP,,,,kisa1266,-8.05,127.18,
hawu,Hawu,CMP,,,,sabu1255,-10.55,121.85,Walker1982
helong,Helong,CMP,,,,helo1243,-10.26,123.38,
tetun,Tetun,CMP,,Tetun Fehan; Fehan Tetun,,tetu1245,-9.11,125.53,vanKlinken1999
asilulu,Asilulu,CMP,,,asil1242,asil1242,-3.67302,127.952,
chamorro,Chamorro,WMP,,,cham1312,cham1312,13.438011,144.74473999999998,
malagasy,Malagasy,WMP,,,,mala1537,-20.326260416666663,46.604015625,
indonesian,Indonesian,WMP,,,,indo1316,-7.33,109.72,
muna,Muna,WMP,,,,muna1247,-5.40,122.54,
rotinese,Rotinese,CMP,,,,,,,
watubela,Watubela,CMP,,,,watu1247,-4.47,131.64,
bima,Bima,CMP,,,,bima1247,-8.57,118.44,
konjo,Konjo,CMP,,,,konj1250,-5.340,120.116,
leti,Leti,CMP,,,,leti1246,-8.20,127.67,
yamdena,Yamdena,CMP,,,,yamd1240,-7.74,131.44,
fordata,Fordata,CMP,,,,ford1242,-7.29,131.51,
ngadha,Ngadha,CMP,,,,ngad1261,-8.80,120.98,
boano,Boano,CMP,,,boan1243,boan1243,0.51152,120.992,
nias,Nias,WMP,,,nias1242,nias1242,0.90691,97.49610000000001,
sichule,Sichule,WMP,,,siku1242,siku1242,2.69113,95.96360000000001,
bikol,Bikol,WMP,,,biko1240,biko1240,13.46,123.55,
hova,Hova,WMP,,,,hoav1238,-8.19679,157.595,
isneg,Isneg,WMP,,,isna1241,isna1241,18.2139,121.16,
taliabo,Taliabo,CMP,,,tali1262,tali1262,-1.79516,124.869,
buginese,Buginese,WMP,,,bugi1244,bugi1244,-4.47,119.977,
makassarese,Makassarese,WMP,,Makasarese,maka1311,maka1311,-5.65551,119.838,
belau,Belau,WMP,,,,pala1344,7.34,134.48,
yami,Yami,WMP,,,,yami1254,22.05,121.54,
itbayat,Itbayat,WMP,,,,ivat1242,20.77,121.85,
manobo,Manobo,WMP,,,,mano1276,8.391250209166687,123.79321982466668,
tiruray,Tiruray,WMP,,,,tiru1241,6.77,124.13,
aceh,Aceh,WMP,,,,achi1257,3.91,96.60,
oldjavanese,Old Javanese,WMP,,,,kawi1241,-7.00,111.00,
roti,Roti,CMP,,,Based on citation of ACD forms,rote1234,-10.55,123.31,
bajau,Bajau,WMP,,,,indo1317,-3.68664,122.253,
ujir,Ujir (Aru Is.),CMP,,Ujir (Aru),,ujir1237,-5.69,134.26,
dobel,Dobel,CMP,,,dobe1238,dobe1238,-6.32531,134.638,
kola,Kola,CMP,,,kola1285,kola1285,-5.48833,134.592,
ambelau,Ambelau,CMP,,,,ambe1248,-3.86,127.20,
kei,Kei,CMP,,,,keii1239,-5.64,133.02,
ambonesemalay,Ambonese Malay,WMP,,,,ambo1250,-3.71,128.18,
tonsea,Tonsea,WMP,,,tons1240,tons1240,1.51393,125.05199999999999,
