ID,Name,Group,Classification,Alternative_Names,Note,Glottocode,Latitude,Longitude
malay,Malay,,,,,mala1479,1.85856,103.0
cebuano,Cebuano,,,,cebu1242,cebu1242,8.38799,124.367
buru,Buru,,,,,buru1303,-3.44,126.63
tagalog,Tagalog,,,,taga1270,taga1270,14.06,121.74700000000001
maranao,Maranao,,,,mara1404,mara1404,7.79414,124.17499999999998
sangir,Sangir,,,,sang1336,sang1336,3,125.5
tausug,Tausug,,,,taus1251,taus1251,5.12236,118.88
javanese,Javanese,,,,java1254,java1254,-7.001,109.287
numfor,Numfor,,,,biak1248,biak1248,-0.9523,135.879
aklanon,Aklanon,,,,akla1240,akla1240,11.55432,122.35413
tobabatak,Toba Batak,,,,bata1289,bata1289,2.35498,99.17609999999999
wolio,Wolio,,,,woli1241,woli1241,-5.33,122.66999999999999
tubetube,Tubetube,,,,bwan1241,bwan1241,-10.6599,151.034
balangaw,Balangaw,,,,bala1310,bala1310,17.0994,121.27199999999999
larike,Larike,,,,lari1256,lari1256,-3.77,127.96
komodo,Komodo,,,,komo1261,komo1261,-8.64518,119.477
manggarai,Manggarai,,,,mang1405,mang1405,-8.55748,120.329
mor,Mor,IJ,,,morb1239,morb1239,-2.85747,132.845
dusner,Dusner,IJ,,,dusn1237,dusn1237,-2.73859,134.39100000000002
waropen,Waropen,,,,waro1242,waro1242,-2.31142,136.63299999999998
kuvalan,Kuvalan,Fma,,,kava1241,kava1241,24.6947,121.645
tolaki,Tolaki,WMP,,,tola1247,tola1247,-4.03577,121.88799999999999
madurese,Madurese,WMP,,,nucl1460,nucl1460,-7,113
sundanese,Sundanese,WMP,,,sund1252,sund1252,-6.89708,107.106
tukangbesi,Tukang Besi,WMP,,,,tuka1247,-5.31,123.58
ngajudayak,Ngaju Dayak,WMP,,,ngaj1237,ngaj1237,-1.58463,112.79400000000001
ilokano,Ilokano,WMP,,,ilok1237,ilok1237,15.9361,120.99300000000001
selaru,Selaru,CMP,,,sela1259,sela1259,-8.18376,130.961
asilulu,Asilulu,CMP,,,asil1242,asil1242,-3.67302,127.952
chamorro,Chamorro,WMP,,,cham1312,cham1312,13.438011,144.74473999999998
boano,Boano,CMP,,,boan1243,boan1243,0.51152,120.992
nias,Nias,WMP,,,nias1242,nias1242,0.90691,97.49610000000001
sichule,Sichule,WMP,,,siku1242,siku1242,2.69113,95.96360000000001
bikol,Bikol,WMP,,,biko1240,biko1240,13.46,123.55
hova,Hova,WMP,,,,hoav1238,-8.19679,157.595
isneg,Isneg,WMP,,,isna1241,isna1241,18.2139,121.16
taliabo,Taliabo,CMP,,,tali1262,tali1262,-1.79516,124.869
buginese,Buginese,WMP,,,bugi1244,bugi1244,-4.47,119.977
makassarese,Makassarese,WMP,,,maka1311,maka1311,-5.65551,119.838
roti,Roti,CMP,,,Based on citation of ACD forms,rote1234,-10.55,123.31
bajau,Bajau,WMP,,,,indo1317,-3.68664,122.253
ujir,Ujir (Aru Is.),CMP,,,,ujir1237,-5.69,134.26
dobel,Dobel,CMP,,,dobe1238,dobe1238,-6.32531,134.638
kola,Kola,CMP,,,kola1285,kola1285,-5.48833,134.592
ambonesemalay,Ambonese Malay,WMP,,,,ambo1250,-3.71,128.18
tonsea,Tonsea,WMP,,,tons1240,tons1240,1.51393,125.05199999999999
iban,Iban,WMP,,,iban1264,iban1264,2.09041,112.93400000000001
maloh,Maloh,WMP,,,emba1238,emba1238,1.3156,112.63
sika,Sika,WMP,,,sika1262,sika1262,-8.67302,122.38
kankanay,Kankanay,WMP,,,kank1243,kank1243,16.8548,120.689
ivatan,Ivatan,WMP,,,,ibat1238,20.77,121.85
gaddang,Gaddang,WMP,,,gadd1244,gadd1244,16.5468,121.17699999999999
sasak,Sasak,WMP,,,sasa1249,sasa1249,-8.58349,116.284
snuaulu,S. Nuaulu,CMP,,,,sout2895,-3.23,129.15
laiyolo,Laiyolo,WMP,,,laiy1246,laiy1246,-6.45512,120.483
ilongot,Ilongot,WMP,,,ilon1239,ilon1239,16.3785,121.54700000000001
uma,Uma,WMP,,,umaa1242,umaa1242,-1.70416,119.968
yapese,Yapese,Yap,,,,yape1248,9.55811,138.125
emira,Emira,Adm,Admiralties [Adm] | St Matthias,,,emir1237,-1.44,149.62
mussau,Mussau,Adm,Admiralties [Adm] | St Matthias,,,muss1248,-1.44,149.62
tench,Tench,Adm,Admiralties [Adm] | St Matthias,,,teni1244,-1.65,150.67
aua,Aua,Adm,Admiralties [Adm] | Admiralties proper | Western Admiralties,,,auaa1241,-1.74,142.85
seimat,Seimat,Adm,Admiralties [Adm] | Admiralties proper | Western Admiralties,Ninigo,= Ninigo,seim1238,-1.2666667,144.25
wuvulu,Wuvulu,Adm,Admiralties [Adm] | Admiralties proper | Western Admiralties,,,wuvu1240,-1.74,142.85
kaniet,Kaniet,Adm,Admiralties [Adm] | Admiralties proper | Western Admiralties,,,kani1282,-1.52,145.09
andra,Andra,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,andr1248,-2.05894,147.085
bipi,Bipi,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,bipi1237,-2.11115,146.39800000000002
bohuai,Bohuai,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,bohu1238,-2.14,146.93
drehet,Drehet,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,Khehek; Levei-Tulu; Ndrehet,"= Ndrehet, Khehek, Levei-Tulu",dreh1238,-2.07,146.75
ere,Ere,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,eree1241,-2.15569,147.083
koro,Koro,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,bowa1234,-2.03429,147.14266999999998
lele,Lele,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,lele1270,-2.04783,147.207
likum,Likum,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,liku1243,-2.16157,146.695
loniu,Loniu,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,loni1238,-2.06124,147.35000000000002
mondropolon,Mondropolon,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,mond1265,-2.01359,146.931
nali,Nali,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,nali1245,-2.14273,147.202
nyindrou,Nyindrou,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,nyin1250,-2.1143,146.627
ponam,Ponam,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,pona1250,-1.91705,146.88700000000003
titan,Titan,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,tita1241,-2.18168,146.88800000000003
soriharengan,Sori-Harengan,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | Manus,,,sori1242,-1.98,146.64
baluan,Baluan,Adm,Admiralties [Adm] | Admiralties proper | Eastern Admiralties | South-East Admiralties,,,balu1258,-2.5604,147.282
