ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Abbr,Group,Source,Is_Proto,Classification,Alternative_Names,Note,Map,Icon
earlyoceanic,Early Oceanic,,,,,,,,,,,true,,,,,
poc,POc,,,,,,,,,,,true,,Proto Oceanic,,,
pead,PEAd,,,,,,,,,,,true,,Proto Eastern Admiralties,,,
pwad,PWAd,,,,,,,,,,,true,,Proto Western Admiralties,,,
padm,PAdm,,,,,,,,,,,true,,Proto Admiralty,,,
pwoc,PWOc,,,,,,,,,,,true,,Proto Western Oceanic,hypothetical protolanguage (see vol6 chapter 1),,
pnng,PNNG,,,,,,,,,,,true,,Proto North New Guinea,,,
pngoc,PNGOc,,,,,,,,,,,true,,Proto New Guinea Oceanic,PWOc without reflexes from MM,,
ppt,PPT,,,,,,,,,,,true,,Proto Papuan Tip,,,
pmm,PMM,,,,,,,,,,,true,,Proto Meso-Melanesian,,,
protonorthwestsolomonic,Proto Northwest Solomonic,,,,,,,,,,,true,,,,,
protonorthbougainville,Proto North Bougainville,,,,,,,,,,,true,,,,,
pses,PSES,,,,,,,,,,,true,,Proto Southeast Solomonic,,,
pncv,PNCV,,,,,,,,,,,true,,Proto North-Central Vanuatu,,,
pncal,PNCal,,,,,,,,,,,true,,Proto New Caledonia,,,
pgmic,PGMic,,,,,,,,,,,true,,Proto Greater Micronesian,,,
pmic,PMic,,,,,,,,,,,true,,Proto Micronesian,,,
protocentralmicronesian,Proto Central Micronesian,,,,,,,,,,,true,,,,,
pwmic,PWMic,,,,,,,,,,,true,,Proto Western Micronesian,,,
protochuukicponapeic,Proto Chuukic-Ponapeic,,,,,,,,,,,true,,,,,
pchk,PChk,,,,,,,,,,,true,,Proto Chuukic,,,
pcp,PCP,,,,,,,,,,,true,,Proto Central Pacific,,,
ppn,PPn,,,,,,,,,,,true,,Proto Polynesian,,,
pnpn,PNPn,,,,,,,,,,,true,,Proto Nuclear Polynesian,,,
pepn,PEPn,,,,,,,,,,,true,,Proto Eastern Polynesian,,,
pepnnorthernoutlier,PEPn-Northern Outlier,,,,,,,,,,,true,,Proto Eastern Polynesian-Northern Outlier,,,
psv,PSV,,,,,,,,,,,true,,Proto South Vanuatu,,,
psoc,PSOc,,,,,,,,,,,true,,Proto Southern Oceanic,,,
protocentralvanuatu,Proto Central Vanuatu,,,,,,,,,,,true,,,,,
pfij,PFij,,,,,,,,,,,true,,Proto Fijian,,,
protoefijian,Proto E Fijian,,,,,,,,,,,true,,Proto Eastern Fijian,,,
protohuongulf,Proto Huon Gulf,,,,,,,,,,,true,,,,,
prototongic,Proto Tongic,,,,,,,,,,,true,,,,,
protosudestnimoa,Proto Sudest-Nimoa,,,,,,,,,,,true,,,,,
prototorresbanks,Proto Torres-Banks,,,,,,,,,,,true,,,,,
protomarkham,Proto Markham,,,,,,,,,,,true,,,,,
protobuang,Proto Buang,,,,,,,,,,,true,,,,,
protobwaidoga,Proto Bwaidoga,,,,,,,,,,,true,,,,,
protomengen,Proto Mengen,,,,,,,,,,,true,,,,,
protonorthnewcaledonia,Proto North New Caledonia,,,,,,,,,,,true,,,,,
protoguadalcanalgelic,Proto Guadalcanal-Gelic,,,,,,,,,,,true,,,,,
prototanna,Proto Tanna,,,,,,,,,,,true,,,,,
protokilivila,Proto Kilivila,,,,,,,,,,,true,,,,,
protoefate,Proto Efate,,,,,,,,,,,true,,,,,
protonmalakula,Proto N Malakula,,,,,,,,,,,true,,Proto North Malakula,,,
protocwmalakula,Proto CW Malakula,,,,,,,,,,,true,,Proto Central/Western Malakula,,,
protonorthmainlanddentrecasteaux,Proto North Mainland/D’Entrecasteaux,,,,,,,,,,,true,,,,,
protomalaitamakira,Proto Malaita-Makira,,,,,,,,,,,true,,,,,
pan,PAn,,,,,,,,,,,true,,Proto Austronesian,,,
panpmp,PAn/PMP,,,,,,,,,,,true,,Proto Austronesian/Malayo-Polynesian,,,
pmp,PMP,,,,,,,,,,,true,,Proto Malayo-Polynesian,,,
pwmp,PWMP,,,,,,,,,,,true,,Proto Western Malaya-Polynesian,,,
pcemp,PCEMP,,,,,,,,,,,true,,Proto Central/Eastern Malayo-Polynesian,,,
pcmp,PCMP,,,,,,,,,,,true,,Proto Central Malayo-Polynesian,,,
pemp,PEMP,,,,,,,,,,,true,,Proto Eastern Malayo-Polynesian,,,
pshwng,PSHWNG,,,,,,,,,,,true,,Proto South Halmahera/West New Guinea,,,
protocenderawasihbay,Proto Cenderawasih Bay,,,,,,,,,,,true,,,,,
pss,PSS,,,,,,,,,,,true,,Proto Solomonic,all cognates are from either Northwest or Southeast Solomonic languages,,
proc,PROc,,,,,,,,,,,true,,Proto Remote Oceanic,"hypothetical subgroup comprising Southern Oceanic, Micronesian and Central Pacific",,
peoc,PEOc,,,,,,,,,,,true,,Proto Eastern Oceanic,hypothetical subgroup comprising SE Solomonic and Remote Oceanic,,
protocentralpapuan,Proto Central Papuan,,,,,,,,,,,true,,,"Languages from PT, MM and NCV",,
pcepn,PCEPn,,,,,,,,,,,true,,Proto Central Eastern Polynesian,"Hawaiian, Maori, Tuamotuan",,
pcpppn,PCP/PPn,,,,,,,,,,,true,,Proto Central Pacific/Polynesian,,,
protoerakortafea,Proto Erakor-Tafea,,,,,,,,,,,true,,,the immediate putative ancestor of S Efate and Proto Southern Vanuatu,,
protosouthmelanesian,Proto South Melanesian,,,,,,,,,,,true,,,the putative ancestor of the Southern Vanuatu and New Caledonian languages,,
prototahitic,Proto Tahitic,,,,,,,,,,,true,,,,,
protohotebuang,Proto Hote-Buang,,,,,,,,,,,true,,,,,
protokimbe,Proto Kimbe,,,,,,,,,,,true,,,,,
protosamoic,Proto Samoic,,,,,,,,,,,true,,,,,
